t_years,Nx,Ny,Nz

0,100,-0,0
1,70.7106781186547,27.9863016024165,1.30302027892876
2,50,45.452855367162,4.54714463283805
3,35.3553390593274,55.6736029480929,8.97105799257972
4,25,60.947570824873,14.052429175127
5,17.6776695296637,62.8857442705157,19.4365861998206
6,12.5,62.6138076668481,24.8861923331519
7,8.83883476483185,60.9154024912414,30.2457627439268
8,6.25,58.3333333333333,35.4166666666667
9,4.41941738241592,55.2410463704235,40.3395362471606
10,3.125,51.8930943502477,44.9819056497523
11,2.20970869120796,48.4607492586541,49.3295420501379
12,1.5625,45.0571187457698,53.3803812542302
13,1.10485434560398,41.7548460275617,57.1402996268343
14,0.78125,38.5985705000907,60.6201794999093
15,0.55242717280199,35.6136881917726,63.8338846354254
16,0.390625,32.8125,66.796875
17,0.276213586400995,30.1985166582877,69.5252697553113
18,0.1953125,27.7694638417905,72.0352236582095
19,0.138106793200498,25.519371365865,74.3425218409345
20,0.09765625,23.4400177062182,76.4623260437818
21,0.0690533966002488,21.5219213820498,78.4090252213499
22,0.048828125,19.755014416712,80.196157458288
23,0.0345266983001244,18.1290932800208,81.8363800216791
24,0.0244140625,16.6341145833333,83.3414713541667
25,0.0172633491500622,15.2603829212111,84.7223537296388
26,0.01220703125,13.9986642125619,85.9891287561881
27,0.0086316745750311,12.8402479789661,87.1511203464588
28,0.006103515625,11.7769749989425,88.2169214854325
29,0.00431583728751555,10.8012418390417,89.1944423236708
30,0.0030517578125,9.90599028127268,90.0909579609148
31,0.00215791864375777,9.0846872140188,90.9131548673374
32,0.00152587890625,8.331298828125,91.6671752929688
33,0.00107895932187889,7.64026174760976,92.3586592930684
34,0.000762939453125,7.00645287451012,92.9927841860368
35,0.000539479660939444,6.42515913298517,93.5743013873539
36,0.0003814697265625,5.89204788358581,94.1075706466876
37,0.000269739830469722,5.40313849127192,94.5965917688976
38,0.00019073486328125,4.95477533269363,95.0450339324431
39,0.000134869915234861,4.54360239288493,95.4562627371998
40,9.5367431640625e-05,4.16653951009115,95.8333651224772
41,6.74349576174305e-05,3.82076026674264,96.1791722982997
42,4.76837158203125e-05,3.50367148526938,96.4962808310148
43,3.37174788087153e-05,3.21289426296147,96.7870720195597
44,2.38418579101562e-05,2.94624646580007,97.053729692342
45,1.68587394043576e-05,2.7017265938704,97.2982565473902
46,1.19209289550781e-05,2.4774989283504,97.5224891507206
47,8.4293697021788e-06,2.27187987055968,97.7281117000706
48,5.96046447753907e-06,2.08332538604736,97.9166686534882
49,4.21468485108941e-06,1.91041947042993,98.0895763148852
50,2.98023223876953e-06,1.75186355813559,98.2481334616322
