t_years,Nx,Ny,Nz

0,100,0,0
1,70.7106781186547,24.5064535867137,4.78286829463158
2,50,34.6573590279973,15.3426409720027
3,35.3553390593274,36.7596803800705,27.8849805606021
4,25,34.6573590279973,40.3426409720027
5,17.6776695296637,30.6330669833921,51.6892634869442
6,12.5,25.993019270998,61.506980729002
7,8.83883476483185,21.4431468883745,69.7180183467937
8,6.25,17.3286795139986,76.4213204860014
9,4.41941738241592,13.7848801425264,81.7957024750576
10,3.125,10.8304246962491,86.0445753037509
11,2.20970869120796,8.42409342043283,89.3661978883592
12,1.5625,6.49825481774949,91.9392451822505
13,1.10485434560398,4.97787338480122,93.9172722695948
14,0.78125,3.7906486436872,95.4281013563128
15,0.55242717280199,2.87185002969301,96.575722797505
16,0.390625,2.16608493924983,97.4432900607502
17,0.276213586400995,1.62738168349271,98.0964047301063
18,0.1953125,1.21842277832803,98.586264721672
19,0.138106793200498,0.909419176069453,98.9524740307301
20,0.09765625,0.676901543515572,99.2254422064844
21,0.0690533966002488,0.502573755196277,99.4283728482035
22,0.048828125,0.372295848933564,99.5788760260664
23,0.0345266983001244,0.275218961178913,99.690254340521
24,0.0244140625,0.203070463054672,99.7725154744453
25,0.0172633491500622,0.149575522379844,99.8331611284701
26,0.01220703125,0.10999650082128,99.8777964679287
27,0.0086316745750311,0.0807707820851159,99.9105975433399
28,0.006103515625,0.0592288850576125,99.9346675993174
29,0.00431583728751555,0.0433769014901548,99.9523072612223
30,0.0030517578125,0.0317297598522924,99.9652184823352
31,0.00215791864375777,0.0231842059688758,99.9746578753874
32,0.00152587890625,0.0169225385878893,99.9815515825059
33,0.00107895932187889,0.0123399805963372,99.9865810600818
34,0.000762939453125,0.00899009862481619,99.9902469619221
35,0.000539479660939444,0.00654392910411819,99.9929165912349
36,0.0003814697265625,0.00475946397784386,99.9948590662956
37,0.000269739830469722,0.0034589339550339,99.9962713262145
38,0.00019073486328125,0.00251193932163982,99.9972973258151
39,0.000134869915234861,0.00182295167900435,99.9980421784058
40,9.5367431640625e-05,0.00132207332717885,99.9985825592412
41,6.74349576174305e-05,0.000958218190245878,99.9989743468521
42,4.76837158203125e-05,0.000694088496768897,99.9992582277874
43,3.37174788087153e-05,0.00050248027049479,99.9994638022507
44,2.38418579101562e-05,0.000363570164974184,99.9996125879771
45,1.68587394043576e-05,0.00026292572293332,99.9997202155377
46,1.19209289550781e-05,0.00019004804078196,99.9997980310303
47,8.4293697021788e-06,0.000137305655309622,99.999854264975
48,5.96046447753907e-06,9.9155499538414e-05,99.999894884036
49,4.21468485108941e-06,7.15742245762927e-05,99.9999242110906
50,2.98023223876953e-06,5.16434893429238e-05,99.9999453762784
