t_years,Nx,Ny,Nz

0,100,-0,0
1,70.7106781186547,25.9781234392657,3.31119844207956
2,50,38.988157484231,11.011842515769
3,35.3553390593274,43.9339828220179,20.7106781186548
4,25,44.055078897615,30.944921102385
5,17.6776695296637,41.4610701531244,40.8612603172119
6,12.5,37.5,50
7,8.83883476483185,33.0110351543119,58.1501300808562
8,6.25,28.4970393710578,65.2529606289422
9,4.41941738241592,24.2417478527522,71.3388347648318
10,3.125,20.3887697244037,76.4862302755963
11,2.20970869120796,16.994393611905,80.795897696887
12,1.5625,14.0625,84.375
13,1.10485434560398,11.5673218253899,87.3278238290061
14,0.78125,9.46800984276444,89.7507401572356
15,0.55242717280199,7.71771848159403,91.729854345604
16,0.390625,6.26906743110094,93.3403075688991
17,0.276213586400995,5.07723916217923,94.6465472514198
18,0.1953125,4.1015625,95.703125
19,0.138106793200498,3.30615083594898,96.5557423708505
20,0.09765625,2.65997121069111,97.2423725393089
21,0.0690533966002488,2.13658981019925,97.7943567932005
22,0.048828125,1.71375123277523,98.2374206422248
23,0.0345266983001244,1.37288988544518,98.5925834162547
24,0.0244140625,1.0986328125,98.876953125
25,0.0172633491500622,0.878327756437431,99.1044088944125
26,0.01220703125,0.701613896422778,99.2861790723272
27,0.0086316745750311,0.560042476274907,99.4313258491501
28,0.006103515625,0.446748355068809,99.5471481293062
29,0.00431583728751555,0.356169983223842,99.6395141794886
30,0.0030517578125,0.2838134765625,99.713134765625
31,0.00215791864375777,0.226055695040631,99.7717863863156
32,0.00152587890625,0.179981110824444,99.8184930102693
33,0.00107895932187889,0.143247497034363,99.8556735436438
34,0.000762939453125,0.113975907126577,99.8852611534203
35,0.000539479660939444,0.0906609347887789,99.9087995855503
36,0.0003814697265625,0.0720977783203125,99.9275207519531
37,0.000269739830469722,0.0573231432515669,99.942407116918
38,0.00019073486328125,0.0455674822959549,99.9542417828408
39,0.000134869915234861,0.0362164840042954,99.9636486460805
40,9.5367431640625e-05,0.0287800790765662,99.9711245534918
41,6.74349576174305e-05,0.022867538570047,99.9770650264723
42,4.76837158203125e-05,0.0181674957275391,99.9817848205566
43,3.37174788087153e-05,0.0144319382493179,99.9855343442719
44,2.38418579101562e-05,0.0114633961477192,99.9885127619944
45,1.68587394043576e-05,0.00910469721928693,99.9908784440413
46,1.19209289550781e-05,0.00723078255600678,99.992757296515
47,8.4293697021788e-06,0.00574217275161829,99.9942493978787
48,5.96046447753907e-06,0.00455975532531738,99.9954342842102
49,4.21468485108941e-06,0.00362062861688274,99.9963751566983
50,2.98023223876953e-06,0.00287478973364611,99.9971222300341
